STEPS,CC,CD,DC,DD
603,438,906,51,161
604,440,892,55,153
605,439,917,55,156
606,431,905,61,152
607,439,908,63,148
608,443,923,64,150
609,439,933,65,150
610,446,928,58,152
611,433,917,55,152
612,425,917,57,155
613,417,925,58,147
614,411,920,61,148
615,394,926,60,144
616,409,917,63,136
617,406,914,63,124
618,409,924,62,125
619,416,903,60,129
620,417,938,56,129
621,409,931,57,121
622,394,933,58,120
623,385,896,56,116
624,387,916,54,118
625,387,916,56,114
626,389,901,54,112
627,387,920,55,118
628,378,912,59,121
629,387,926,53,116
630,384,931,53,121
631,387,934,54,126
632,379,945,51,137
633,382,948,53,126
634,376,944,52,127
635,387,953,49,127
636,386,952,48,127
637,393,937,43,133
638,396,945,45,131
639,383,936,47,125
640,376,935,49,130
641,378,941,47,123
642,362,969,45,121
643,369,962,44,118
644,364,978,44,117
645,352,984,48,129
646,361,988,55,140
647,366,1006,57,133
648,364,996,60,137
649,377,960,61,130
650,380,958,58,133
651,394,960,60,134
652,394,951,57,138
653,385,957,53,137
654,393,961,54,130
655,404,981,52,122
656,397,971,54,124
657,401,985,52,125
658,401,967,55,132
659,391,1009,55,128
660,396,998,62,127
661,390,1009,62,127
662,387,1006,67,125
663,387,1010,74,125
664,398,1025,75,134
665,400,1032,76,132
666,396,1025,77,130
667,395,1031,76,125
668,393,1042,72,129
669,392,1055,75,126
670,394,1027,73,128
671,397,1025,76,124
672,376,1015,77,130
673,378,1001,78,131
674,390,1051,79,129
675,385,1045,82,132
676,377,1032,75,117
677,368,1027,76,123
678,369,1040,76,120
679,385,1070,69,114
680,370,1067,70,120
681,369,1089,74,124
682,369,1094,70,117
683,349,1084,68,126
684,357,1078,68,128
685,352,1071,72,124
686,344,1077,71,120
687,345,1075,72,121
688,348,1077,73,125
689,344,1091,68,126
690,344,1101,72,127
691,346,1092,67,130
692,348,1078,74,127
693,355,1077,72,132
694,353,1070,69,138
695,352,1073,68,142
696,341,1080,69,150
697,335,1090,63,145
698,349,1104,64,144
699,355,1110,62,148
700,355,1124,72,150
701,353,1139,72,151
702,346,1121,70,151
703,354,1107,70,140
704,350,1102,70,147
705,350,1112,70,145
706,342,1108,74,150
707,331,1103,73,146
708,331,1101,76,147
709,341,1101,75,140
710,349,1109,72,144
711,340,1094,74,142
712,334,1085,74,137
713,354,1098,69,139
714,346,1097,69,138
715,347,1081,65,144
716,338,1065,67,149
717,327,1055,62,142
718,324,1026,65,140
719,325,1031,68,138
720,324,1015,73,145
721,323,1012,76,141
722,325,1007,73,143
723,330,1019,77,144
724,325,1036,79,143
725,341,1029,82,142
726,342,1033,78,138
727,344,1047,85,138
728,346,1041,81,140
729,357,1019,79,134
730,353,1015,85,136
731,368,1030,90,152
732,367,1033,89,158
733,357,1039,85,156
734,346,1038,88,153
735,342,1041,95,150
736,340,1048,89,147
737,337,1058,96,148
738,323,1058,97,151
739,319,1058,101,152
740,326,1083,96,155
741,317,1083,90,153
742,310,1089,91,150
743,324,1068,87,156
744,324,1079,82,156
745,327,1073,84,158
746,329,1071,82,148
747,344,1055,83,143
748,349,1048,81,145
749,351,1037,81,146
750,355,1055,77,147
751,357,1054,72,150
752,365,1056,72,153
753,358,1083,69,150
754,352,1058,68,153
755,349,1051,68,147
756,350,1062,71,148
757,346,1055,70,151
758,338,1042,70,147
759,332,1027,68,148
760,323,1043,73,146
761,334,1038,66,146
762,338,1059,54,148
763,337,1057,62,149
764,343,1057,63,153
765,328,1061,65,143
766,337,1054,69,147
767,344,1059,66,142
768,347,1070,61,144
769,344,1048,67,148
770,341,1033,64,148
771,334,1036,61,150
772,334,1034,65,153
773,339,1035,59,153
774,336,1044,59,152
775,345,1060,58,148
776,348,1053,56,160
777,353,1065,53,168
778,365,1051,52,166
779,362,1073,50,156
780,363,1079,56,152
781,367,1058,56,147
782,353,1052,53,141
783,363,1045,51,137
784,358,1064,55,130
785,358,1074,53,122
786,349,1060,46,119
787,339,1061,43,115
788,325,1067,45,110
789,331,1068,47,110
790,336,1069,49,118
791,334,1096,47,119
792,338,1108,49,116
793,349,1096,46,116
794,361,1110,44,113
795,352,1094,44,112
796,359,1078,41,108
797,352,1090,40,110
798,350,1082,35,108
799,357,1087,40,108
800,347,1067,41,107
801,345,1098,38,109
802,338,1130,35,109
803,339,1156,35,102
804,343,1153,42,95
805,356,1162,44,96
806,353,1131,43,96
807,354,1117,42,95
808,356,1110,44,88
809,348,1138,43,91
810,350,1130,45,91
811,351,1130,43,91
812,356,1121,41,86
813,349,1142,42,88
814,355,1157,40,81
815,362,1155,43,82
816,366,1143,38,84
817,368,1151,31,80
818,380,1168,30,78
819,390,1188,29,76
820,377,1181,32,79
821,367,1190,29,71
822,372,1176,29,66
823,361,1163,28,63
824,373,1142,29,66
825,372,1148,29,66
826,365,1151,25,67
827,376,1135,21,68
828,370,1127,21,60
829,359,1138,23,64
830,357,1177,23,65
831,360,1182,24,61
832,360,1161,27,60
833,368,1188,25,73
834,366,1162,23,74
835,357,1175,24,71
836,348,1189,24,67
837,344,1183,27,62
838,363,1171,30,58
839,354,1203,32,59
840,358,1218,31,61
841,370,1221,32,60
842,376,1200,36,58
843,380,1220,37,58
844,372,1238,35,54
845,371,1223,33,52
846,383,1203,34,54
847,387,1192,41,52
848,393,1166,40,49
849,384,1184,43,49
850,391,1200,42,51
851,393,1219,41,54
852,404,1206,39,54
853,400,1218,33,60
854,394,1221,34,58
855,381,1206,34,60
856,382,1210,32,57
857,384,1179,30,57
